mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__optimizer_name,param_model__learning_rate,param_model__hidden_neurons,param_model__hidden_layers,param_model__dropout_rate,param_model__activation,param_epochs,param_batch_size,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
12.90409188270569,0.3902984406458302,0.25349855422973633,0.07575929302034884,adam,0.001,256,1,0.2,tanh,20,64,"{'model__optimizer_name': 'adam', 'model__learning_rate': 0.001, 'model__hidden_neurons': 256, 'model__hidden_layers': 1, 'model__dropout_rate': 0.2, 'model__activation': 'tanh', 'epochs': 20, 'batch_size': 64}",0.864,0.854,0.8475,0.843,0.8545,0.8526,0.00712320152740325,2
25.931598711013795,1.5236842603302692,0.37166905403137207,0.009495164037378125,rmsprop,0.01,256,3,0.2,sigmoid,10,16,"{'model__optimizer_name': 'rmsprop', 'model__learning_rate': 0.01, 'model__hidden_neurons': 256, 'model__hidden_layers': 3, 'model__dropout_rate': 0.2, 'model__activation': 'sigmoid', 'epochs': 10, 'batch_size': 16}",0.8005,0.8145,0.818,0.7975,0.808,0.8077,0.007852388171760226,3
38.83809504508972,1.2973928493673739,0.2846232414245605,0.010578907713703392,rmsprop,0.001,128,3,0.2,tanh,30,32,"{'model__optimizer_name': 'rmsprop', 'model__learning_rate': 0.001, 'model__hidden_neurons': 128, 'model__hidden_layers': 3, 'model__dropout_rate': 0.2, 'model__activation': 'tanh', 'epochs': 30, 'batch_size': 32}",0.8685,0.852,0.847,0.8555,0.846,0.8538,0.008115417426109422,1
