epoch,errors,weight_1,weight_2,weight_3,weight_4,bias
73,16,-0.21738671383690242,-0.2526728441717517,-0.22648200760955256,9.519322785741082e-05,-0.11999999999999998
74,16,-0.2241115343420592,-0.24540683561709492,-0.23136844137739776,-0.02435378449545355,-0.11999999999999998
75,14,-0.23452143866833686,-0.24955416537270508,-0.2173399920655502,-0.020382761696921985,-0.11999999999999998
76,14,-0.22973248362505458,-0.245688244520042,-0.22910336242711052,-0.01756298426561724,-0.11999999999999998
77,15,-0.23579022814928471,-0.24547970726322854,-0.23054616855299315,-0.023031056847741125,-0.10999999999999999
78,14,-0.2330270135113371,-0.2395258039386674,-0.24159745138309716,-0.01560610749376884,-0.10999999999999999
79,15,-0.2352125678341773,-0.2519687253479626,-0.2230694186346503,-0.01577153334467871,-0.11999999999999998
80,12,-0.23254366206407348,-0.24995795561563755,-0.22772700028189058,-0.014355542966682568,-0.11999999999999998
81,17,-0.23219273012042788,-0.25600655427921765,-0.22272073917867818,-0.023713329066616624,-0.12999999999999998
82,15,-0.22584579700397947,-0.25305050480546415,-0.23817830062541887,-0.03016652372359568,-0.11999999999999998
83,13,-0.21669672743740775,-0.26469283407839167,-0.23026612821391687,0.0012035268867944676,-0.12999999999999998
84,9,-0.22836289364875553,-0.2536917284837728,-0.23781645432113596,-0.005649968244806618,-0.11999999999999998
85,16,-0.23423084067182395,-0.2514164241558244,-0.23777281923120325,-0.014675986179634863,-0.11999999999999998
86,15,-0.24427288672407063,-0.24469337094858223,-0.23111167413213585,-0.011670833056905036,-0.12999999999999998
87,17,-0.23680610618172915,-0.25936541603822755,-0.2283223407376229,-0.02899689004581743,-0.11999999999999998
88,15,-0.235098498946299,-0.2648215219776799,-0.22774248814562384,-0.008986563476012944,-0.12999999999999998
89,13,-0.23759770244372405,-0.2487308525780914,-0.24709587397811864,-0.02060576876613412,-0.11999999999999998
90,14,-0.2400177454103236,-0.25426426179994444,-0.24139012176632293,-0.00937574373627371,-0.11999999999999998
91,16,-0.2386460792313371,-0.26012220315457246,-0.23943327366407147,-0.023985880205448794,-0.11999999999999998
92,12,-0.23613707625805502,-0.25658422338565906,-0.2468294214076783,-0.020353503238004705,-0.11999999999999998
93,18,-0.23188585771086276,-0.2636801252866868,-0.24694872160036693,-0.012189498067410771,-0.11999999999999998
94,15,-0.24277738737122495,-0.264508580278218,-0.23255929145081078,-0.011216010432069531,-0.12999999999999998
95,14,-0.2360232888891853,-0.2565829397099902,-0.24731375438664646,-0.027562547162785,-0.12999999999999998
96,14,-0.2473084728119834,-0.2746304481498916,-0.2337605428108621,-0.0024379012047349487,-0.10999999999999999
97,15,-0.2415145819784595,-0.26542107654937785,-0.24639214210218194,-0.020520216937033115,-0.11999999999999998
98,12,-0.23821275109752033,-0.2628106723406334,-0.2527621689277417,-0.020501919092017803,-0.11999999999999998
99,10,-0.24758230192792696,-0.25303686900156547,-0.25368105893329435,-0.021044031436516522,-0.11999999999999998
100,15,-0.24976785625076722,-0.26547979041086067,-0.23515302618484746,-0.021209457287426396,-0.12999999999999998
