learning_rate,epochs_to_converge,converged,final_train_errors,final_accuracy,final_precision,final_recall,final_f1_score
0.001,100,False,13,0.9890510948905109,0.984375,0.9921259842519685,0.988235294117647
0.01,100,False,15,0.9781021897810219,0.984,0.968503937007874,0.976190476190476
0.1,100,False,14,0.9817518248175182,0.9841269841269841,0.9763779527559056,0.9802371541501976
